pergunta,categoria,dificuldade,resposta_do_chatbot,resposta_esperada,contexto_recuperado,score_relevancia,score_faithfulness,score_contextual_precision,score_contextual_recall,score_contextual_relevancy,aprovado,motivo_reprovacao
Qual é o impacto de um reajuste de 5% sobre um salário base de R$ 2.500?,folha-de-pagamento,simple,Não foi possível executar o chatbot real. Resposta de fallback para 'Qual é o impacto de um reajuste de 5% sobre um salário base de R$ 2.500?'. Detalhe: Could not import module 'pipeline'. Are this object's requirements defined correctly?,"A resposta deve calcular corretamente o aumento de R$ 125,00 e informar o novo salário de R$ 2.625,00, sem omitir o impacto na folha.",,0.0,1.0,,,,False,Score abaixo do threshold 0.7
Quais são os principais encargos que impactam o custo da folha de pagamento?,folha-de-pagamento,simple,Não foi possível executar o chatbot real. Resposta de fallback para 'Quais são os principais encargos que impactam o custo da folha de pagamento?'. Detalhe: Could not import module 'pipeline'. Are this object's requirements defined correctly?,"A resposta deve mencionar INSS, FGTS, férias, 13º salário, encargos sociais e, quando pertinente, reflexos de horas extras e DSR.",,1.0,1.0,,,,True,
Como calcular o valor de uma hora extra com 50% de adicional?,he-dsr,simple,Não foi possível executar o chatbot real. Resposta de fallback para 'Como calcular o valor de uma hora extra com 50% de adicional?'. Detalhe: Could not import module 'pipeline'. Are this object's requirements defined correctly?,"A resposta deve explicar que a hora extra deve ser calculada sobre a hora normal, acrescida do adicional de 50% e considerando a base da jornada da planta.",,1.0,1.0,,,,True,
Quais regras da CCT se aplicam ao aviso prévio em caso de demissão sem justa causa?,cct,intermediate,Não foi possível executar o chatbot real. Resposta de fallback para 'Quais regras da CCT se aplicam ao aviso prévio em caso de demissão sem justa causa?'. Detalhe: Could not import module 'pipeline'. Are this object's requirements defined correctly?,A resposta deve explicar que o aviso prévio segue as regras previstas na CCT da planta e deve ser tratado como uma obrigação coletiva e contratual.,,1.0,1.0,,,,True,
O que a CCT diz sobre trabalho aos domingos e feriados?,cct,intermediate,Não foi possível executar o chatbot real. Resposta de fallback para 'O que a CCT diz sobre trabalho aos domingos e feriados?'. Detalhe: Could not import module 'pipeline'. Are this object's requirements defined correctly?,"A resposta deve abordar o pagamento em dobro ou as condições específicas previstas na CCT para domingo e feriado, sem inventar cláusulas.",,1.0,1.0,,,,True,
Como deve ser feito o cálculo do reflexo de DSR sobre horas extras?,he-dsr,intermediate,Não foi possível executar o chatbot real. Resposta de fallback para 'Como deve ser feito o cálculo do reflexo de DSR sobre horas extras?'. Detalhe: Could not import module 'pipeline'. Are this object's requirements defined correctly?,"A resposta deve explicar que o DSR é calculado considerando os dias de descanso e a proporcionalidade das horas extras, sem simplificar demais o raciocínio.",,1.0,1.0,,,,True,
Quais provisões devem ser consideradas em uma simulação de folha para um mês com 3 dias de férias?,provisoes,intermediate,Não foi possível executar o chatbot real. Resposta de fallback para 'Quais provisões devem ser consideradas em uma simulação de folha para um mês com 3 dias de férias?'. Detalhe: Could not import module 'pipeline'. Are this object's requirements defined correctly?,"A resposta deve mencionar férias, 13º salário, encargos e demais provisões aplicáveis, alinhando-se ao contexto de folha e custo.",,1.0,1.0,,,,True,
Qual é o impacto financeiro de um reajuste salarial de 8% em uma planta com 300 colaboradores?,folha-de-pagamento,intermediate,Não foi possível executar o chatbot real. Resposta de fallback para 'Qual é o impacto financeiro de um reajuste salarial de 8% em uma planta com 300 colaboradores?'. Detalhe: Could not import module 'pipeline'. Are this object's requirements defined correctly?,"A resposta deve contextualizar o impacto com base no salário médio e no número de colaboradores, sem fornecer um valor inventado sem contexto.",,1.0,1.0,,,,True,
Como a empresa deve se posicionar em uma negociação sindical se o pedido de reajuste for de 12% e a inflação estiver em 4%?,negociacao-sindical,complex,Não foi possível executar o chatbot real. Resposta de fallback para 'Como a empresa deve se posicionar em uma negociação sindical se o pedido de reajuste for de 12% e a inflação estiver em 4%?'. Detalhe: Could not import module 'pipeline'. Are this object's requirements defined correctly?,"A resposta deve discutir a relação entre reivindicação sindical, poder de barganha e impacto financeiro, sem substituir a decisão de negociação por uma resposta automática.",,1.0,1.0,,,,True,
Quais são os riscos de uma greve se o reajuste for abaixo da inflação e houver aumento de horas extras?,negociacao-sindical,complex,Não foi possível executar o chatbot real. Resposta de fallback para 'Quais são os riscos de uma greve se o reajuste for abaixo da inflação e houver aumento de horas extras?'. Detalhe: Could not import module 'pipeline'. Are this object's requirements defined correctly?,"A resposta deve relacionar risco de conflito, perda de poder de compra, desgaste social e pressão sobre a negociação, sem afirmar fatos não sustentados.",,1.0,1.0,,,,True,
